//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/usr/lib/libffi.dylib
// arch:    arm64e
// uuid:    ED35DE10-AC5D-3468-9986-10C0C12B0562
// text:    0x0000000194c18000
// count:   62 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000194c1c000  0x00004000  __TEXT,__text  sub  sub_194c1c000
0x0000000194c20000  0x00000190  __TEXT,__text  func  ffi_call_SYSV
0x0000000194c20190  0x00000020  __TEXT,__text  func  ffi_closure_SYSV_V
0x0000000194c201b0  0x00003e50  __TEXT,__text  func  ffi_closure_SYSV
0x0000000194c24000  0x00004000  __TEXT,__text  func  ffi_closure_trampoline_table_page
0x0000000194c28000  0x00000040  __TEXT,__text  sub  sub_194c28000
0x0000000194c28040  0x00000040  __TEXT,__text  sub  sub_194c28040
0x0000000194c28080  0x00000090  __TEXT,__text  func  ffi_java_raw_size
0x0000000194c28110  0x00000068  __TEXT,__text  func  ffi_java_raw_to_ptrarray
0x0000000194c28178  0x000000cc  __TEXT,__text  func  ffi_java_ptrarray_to_raw
0x0000000194c28244  0x000000cc  __TEXT,__text  func  ffi_java_raw_call
0x0000000194c28310  0x00000050  __TEXT,__text  func  ffi_prep_java_raw_closure_loc
0x0000000194c28360  0x000000cc  __TEXT,__text  func  ffi_java_translate_args
0x0000000194c2842c  0x00000054  __TEXT,__text  func  ffi_prep_java_raw_closure
0x0000000194c28480  0x00000060  __TEXT,__text  func  ffi_raw_size
0x0000000194c284e0  0x00000060  __TEXT,__text  func  ffi_raw_to_ptrarray
0x0000000194c28540  0x00000134  __TEXT,__text  func  ffi_ptrarray_to_raw
0x0000000194c28674  0x000000cc  __TEXT,__text  func  ffi_raw_call
0x0000000194c28740  0x00000050  __TEXT,__text  func  ffi_prep_raw_closure_loc
0x0000000194c28790  0x000000cc  __TEXT,__text  func  ffi_translate_args
0x0000000194c2885c  0x00000054  __TEXT,__text  func  ffi_prep_raw_closure
0x0000000194c288b0  0x00000168  __TEXT,__text  func  ffi_prep_cif_core
0x0000000194c28a18  0x00000018  __TEXT,__text  func  ffi_prep_cif
0x0000000194c28a30  0x000000ac  __TEXT,__text  func  ffi_prep_cif_var
0x0000000194c28adc  0x00000034  __TEXT,__text  func  ffi_get_struct_offsets
0x0000000194c28b10  0x00000230  __TEXT,__text  func  ffi_closure_alloc
0x0000000194c28d40  0x000000d4  __TEXT,__text  func  ffi_closure_free
0x0000000194c28e14  0x00000048  __TEXT,__text  func  __ffi_trampoline_table_alloc_block_invoke
0x0000000194c28e5c  0x0000012c  __TEXT,__text  func  ffi_prep_cif_machdep
0x0000000194c28f88  0x00000138  __TEXT,__text  func  is_vfp_type
0x0000000194c290c0  0x00000030  __TEXT,__text  func  ffi_prep_cif_machdep_var
0x0000000194c290f0  0x00000004  __TEXT,__text  func  ffi_call
0x0000000194c290f4  0x00000514  __TEXT,__text  func  ffi_call_int
0x0000000194c29608  0x00000080  __TEXT,__text  func  ffi_prep_closure_loc
0x0000000194c29688  0x0000000c  __TEXT,__text  func  ffi_find_closure_for_code_np
0x0000000194c29694  0x000003a4  __TEXT,__text  func  ffi_closure_SYSV_inner
0x0000000194c29a38  0x000000f4  __TEXT,__text  func  compress_hfa_type
0x0000000194c29b2c  0x00000064  __TEXT,__text  func  is_hfa0
0x0000000194c29b90  0x0000007c  __TEXT,__text  func  is_hfa1
0x0000000194c29c0c  0x00000008  __TEXT,__text  func  ffi_tramp_is_supported
0x0000000194c29c14  0x00000008  __TEXT,__text  func  ffi_tramp_alloc
0x0000000194c29c1c  0x00000004  __TEXT,__text  func  ffi_tramp_set_parms
0x0000000194c29c20  0x00000008  __TEXT,__text  func  ffi_tramp_get_addr
0x0000000194c29c28  0x00000004  __TEXT,__text  func  ffi_tramp_free
0x0000000194c29c2c  0x000000f4  __TEXT,__text  func  initialize_aggregate
0x0000000194c29d20  0x00000028  __TEXT,__text  func  ffi_closure_alloc.cold.1
0x0000000194c29d48  0x0000002c  __TEXT,__text  func  __ffi_trampoline_table_alloc_block_invoke.cold.1
0x0000000194c29d74  0x0000012c  __TEXT,__text  func  __ffi_trampoline_table_alloc_block_invoke.cold.2
0x0000000194c29ea0  0x00000028  __TEXT,__const  func  libffiVersionString
0x0000000194c29ec8  0x00000008  __TEXT,__const  func  libffiVersionNumber
0x0000000194c29ed0  0x00000018  __TEXT,__const  func  ffi_type_void
0x0000000194c29ee8  0x00000018  __TEXT,__const  func  ffi_type_uint8
0x0000000194c29f00  0x00000018  __TEXT,__const  func  ffi_type_sint8
0x0000000194c29f18  0x00000018  __TEXT,__const  func  ffi_type_uint16
0x0000000194c29f30  0x00000018  __TEXT,__const  func  ffi_type_sint16
0x0000000194c29f48  0x00000018  __TEXT,__const  func  ffi_type_uint32
0x0000000194c29f60  0x00000018  __TEXT,__const  func  ffi_type_sint32
0x0000000194c29f78  0x00000018  __TEXT,__const  func  ffi_type_uint64
0x0000000194c29f90  0x00000018  __TEXT,__const  func  ffi_type_sint64
0x0000000194c29fa8  0x00000018  __TEXT,__const  func  ffi_type_pointer
0x0000000194c29fc0  0x00000018  __TEXT,__const  func  ffi_type_float
0x0000000194c29fd8  0x00000000  __TEXT,__const  func  ffi_type_double
