//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/libpam.2.dylib
// arch:    arm64e
// uuid:    24C42EB6-FC23-3D66-A260-CAD78EF8637B
// text:    0x0000000190562000
// count:   64 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001905627b8  0x00000078  __TEXT,__text  sub  sub_1905627b8
0x0000000190562830  0x00000084  __TEXT,__text  func  openpam_configure_apple
0x00000001905628b4  0x000000cc  __TEXT,__text  func  openpam_read_apple_chain
0x0000000190562980  0x00000198  __TEXT,__text  func  openpam_borrow_cred
0x0000000190562b18  0x000004d0  __TEXT,__text  func  openpam_read_chain_from_filehandle
0x0000000190562fe8  0x0000008c  __TEXT,__text  func  match_word
0x0000000190563074  0x00000058  __TEXT,__text  func  dup_word
0x00000001905630cc  0x00000138  __TEXT,__text  func  openpam_load_chain
0x0000000190563204  0x000000f4  __TEXT,__text  func  openpam_configure_default
0x00000001905632f8  0x00000084  __TEXT,__text  func  openpam_configure
0x000000019056337c  0x000000d8  __TEXT,__text  func  openpam_read_chain_from_path
0x0000000190563454  0x0000034c  __TEXT,__text  func  openpam_dispatch
0x00000001905637a0  0x00000100  __TEXT,__text  func  openpam_dynamic
0x00000001905638a0  0x000000d8  __TEXT,__text  func  __openpam_dynamic_block_invoke
0x0000000190563978  0x000000ac  __TEXT,__text  func  openpam_dynamic_load
0x0000000190563a24  0x00000224  __TEXT,__text  func  openpam_dynamic_load_single
0x0000000190563c48  0x00000084  __TEXT,__text  func  openpam_findenv
0x0000000190563ccc  0x00000008  __TEXT,__text  func  openpam_free_data
0x0000000190563cd4  0x00000058  __TEXT,__text  func  openpam_free_envlist
0x0000000190563d2c  0x000000b0  __TEXT,__text  func  openpam_get_option
0x0000000190563ddc  0x00000088  __TEXT,__text  func  openpam_load_module
0x0000000190563e64  0x00000084  __TEXT,__text  func  openpam_release_module
0x0000000190563ee8  0x0000003c  __TEXT,__text  func  openpam_clear_chains
0x0000000190563f24  0x00000084  __TEXT,__text  func  openpam_destroy_chain
0x0000000190563fa8  0x000000c8  __TEXT,__text  func  _openpam_log
0x0000000190564070  0x00000008  __TEXT,__text  func  openpam_nullconv
0x0000000190564078  0x00000258  __TEXT,__text  func  openpam_readline
0x00000001905642d0  0x000000ac  __TEXT,__text  func  openpam_restore_cred
0x000000019056437c  0x000001e4  __TEXT,__text  func  openpam_set_option
0x0000000190564560  0x000002cc  __TEXT,__text  func  openpam_ttyconv
0x000000019056482c  0x0000022c  __TEXT,__text  func  prompt
0x0000000190564a58  0x00000004  __TEXT,__text  func  misc_conv
0x0000000190564a5c  0x00000004  __TEXT,__text  func  timeout
0x0000000190564a60  0x0000000c  __TEXT,__text  func  pam_acct_mgmt
0x0000000190564a6c  0x00000054  __TEXT,__text  func  pam_authenticate
0x0000000190564ac0  0x00000090  __TEXT,__text  func  pam_chauthtok
0x0000000190564b50  0x0000001c  __TEXT,__text  func  pam_close_session
0x0000000190564b6c  0x000000e4  __TEXT,__text  func  pam_end
0x0000000190564c50  0x00000054  __TEXT,__text  func  pam_error
0x0000000190564ca4  0x0000024c  __TEXT,__text  func  pam_get_authtok
0x0000000190564ef0  0x0000005c  __TEXT,__text  func  pam_get_data
0x0000000190564f4c  0x0000002c  __TEXT,__text  func  pam_get_item
0x0000000190564f78  0x000000ec  __TEXT,__text  func  pam_get_user
0x0000000190565064  0x00000074  __TEXT,__text  func  pam_getenv
0x00000001905650d8  0x00000124  __TEXT,__text  func  pam_getenvlist
0x00000001905651fc  0x00000054  __TEXT,__text  func  pam_info
0x0000000190565250  0x0000001c  __TEXT,__text  func  pam_open_session
0x000000019056526c  0x0000002c  __TEXT,__text  func  pam_prompt
0x0000000190565298  0x00000100  __TEXT,__text  func  pam_putenv
0x0000000190565398  0x000000d4  __TEXT,__text  func  pam_set_data
0x000000019056546c  0x00000118  __TEXT,__text  func  pam_set_item
0x0000000190565584  0x0000001c  __TEXT,__text  func  pam_setcred
0x00000001905655a0  0x000000bc  __TEXT,__text  func  pam_setenv
0x000000019056565c  0x00000148  __TEXT,__text  func  pam_start
0x00000001905657a4  0x00000200  __TEXT,__text  func  pam_strerror
0x00000001905659a4  0x0000004c  __TEXT,__text  func  pam_verror
0x00000001905659f0  0x0000004c  __TEXT,__text  func  pam_vinfo
0x0000000190565a3c  0x00000124  __TEXT,__text  func  pam_vprompt
0x0000000190565b60  0x000000a4  __TEXT,__text  func  pam_unsetenv
0x0000000190565c04  0x0000228c  __TEXT,__text  func  openpam_dynamic.cold.1
0x0000000190567e90  0x0000000a  __TEXT,__const  func  authtok_prompt
0x0000000190567e9a  0x0000000e  __TEXT,__const  func  newauthtok_prompt
0x0000000190567ea8  0x0000000e  __TEXT,__const  func  oldauthtok_prompt
0x0000000190567eb6  0x00000000  __TEXT,__const  func  user_prompt
