//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/usr/lib/libpcap.A.dylib
// arch:    arm64e
// uuid:    E0FC59B4-B5A8-3C6C-96CF-C7AE956C413C
// text:    0x0000000190345000
// count:   544 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000190345810  0x000000d8  __TEXT,__text  sub  sub_190345810
0x00000001903458e8  0x00000064  __TEXT,__text  sub  sub_1903458e8
0x000000019034594c  0x000000d8  __TEXT,__text  sub  sub_19034594c
0x0000000190345a24  0x00000064  __TEXT,__text  sub  sub_190345a24
0x0000000190345a88  0x00000050  __TEXT,__text  sub  sub_190345a88
0x0000000190345ad8  0x000001a0  __TEXT,__text  sub  sub_190345ad8
0x0000000190345c78  0x00000028  __TEXT,__text  sub  sub_190345c78
0x0000000190345ca0  0x0000009c  __TEXT,__text  sub  sub_190345ca0
0x0000000190345d3c  0x000000a0  __TEXT,__text  sub  sub_190345d3c
0x0000000190345ddc  0x0000002c  __TEXT,__text  sub  sub_190345ddc
0x0000000190345e08  0x0000002c  __TEXT,__text  sub  sub_190345e08
0x0000000190345e34  0x0000002c  __TEXT,__text  sub  sub_190345e34
0x0000000190345e60  0x0000002c  __TEXT,__text  sub  sub_190345e60
0x0000000190345e8c  0x0000002c  __TEXT,__text  sub  sub_190345e8c
0x0000000190345eb8  0x000000a0  __TEXT,__text  sub  sub_190345eb8
0x0000000190345f58  0x000000a0  __TEXT,__text  sub  sub_190345f58
0x0000000190345ff8  0x00000050  __TEXT,__text  sub  sub_190345ff8
0x0000000190346048  0x00000248  __TEXT,__text  sub  sub_190346048
0x0000000190346290  0x0000002c  __TEXT,__text  sub  sub_190346290
0x00000001903462bc  0x0000002c  __TEXT,__text  sub  sub_1903462bc
0x00000001903462e8  0x0000002c  __TEXT,__text  sub  sub_1903462e8
0x0000000190346314  0x0000002c  __TEXT,__text  sub  sub_190346314
0x0000000190346340  0x0000002c  __TEXT,__text  sub  sub_190346340
0x000000019034636c  0x0000002c  __TEXT,__text  sub  sub_19034636c
0x0000000190346398  0x0000002c  __TEXT,__text  sub  sub_190346398
0x00000001903463c4  0x00000370  __TEXT,__text  sub  sub_1903463c4
0x0000000190346734  0x000002fc  __TEXT,__text  sub  sub_190346734
0x0000000190346a30  0x00000100  __TEXT,__text  func  bpf_dump
0x0000000190346b30  0x00000450  __TEXT,__text  func  pcap_filter_with_aux_data
0x0000000190346f80  0x00000004  __TEXT,__text  func  pcap_filter
0x0000000190346f84  0x00000114  __TEXT,__text  func  pcap_validate_filter
0x0000000190347098  0x00000004  __TEXT,__text  func  bpf_filter
0x000000019034709c  0x00000004  __TEXT,__text  func  bpf_validate
0x00000001903470a0  0x00000768  __TEXT,__text  func  bpf_image
0x0000000190347808  0x000002bc  __TEXT,__text  func  pcap_next_etherent
0x0000000190347ac4  0x00000170  __TEXT,__text  func  pcap_findalldevs_interfaces
0x0000000190347c34  0x00000004  __TEXT,__text  func  pcap_fmt_set_encoding
0x0000000190347c38  0x000000c0  __TEXT,__text  func  pcap_fmt_errmsg_for_errno
0x0000000190347cf8  0x00000060  __TEXT,__text  func  bpf_set_error
0x0000000190347d58  0x00000060  __TEXT,__text  func  sdup
0x0000000190347db8  0x000000b4  __TEXT,__text  func  newchunk_nolongjmp
0x0000000190347e6c  0x00000740  __TEXT,__text  func  pcap_compile
0x00000001903485ac  0x00000080  __TEXT,__text  func  pcap_compile_nopcap
0x000000019034862c  0x00000034  __TEXT,__text  func  pcap_freecode
0x0000000190348660  0x00000dc8  __TEXT,__text  func  finish_parse
0x0000000190349428  0x00000090  __TEXT,__text  func  gen_and
0x00000001903494b8  0x0000007c  __TEXT,__text  func  gen_or
0x0000000190349534  0x00000014  __TEXT,__text  func  gen_not
0x0000000190349548  0x00000038  __TEXT,__text  func  gen_llc
0x0000000190349580  0x000001e8  __TEXT,__text  func  gen_llc_internal
0x0000000190349768  0x000000a8  __TEXT,__text  func  gen_llc_i
0x0000000190349810  0x0000014c  __TEXT,__text  func  gen_load_a
0x000000019034995c  0x00000074  __TEXT,__text  func  gen_llc_s
0x00000001903499d0  0x00000074  __TEXT,__text  func  gen_llc_u
0x0000000190349a44  0x00000080  __TEXT,__text  func  gen_llc_s_subtype
0x0000000190349ac4  0x00000080  __TEXT,__text  func  gen_llc_u_subtype
0x0000000190349b44  0x00000040  __TEXT,__text  func  gen_proto_abbrev
0x0000000190349b84  0x000004d0  __TEXT,__text  func  gen_proto_abbrev_internal
0x000000019034a054  0x00000220  __TEXT,__text  func  gen_portop6
0x000000019034a274  0x000007b8  __TEXT,__text  func  gen_scode
0x000000019034aa2c  0x00000044  __TEXT,__text  func  bpf_error
0x000000019034aa70  0x000003e0  __TEXT,__text  func  gen_host
0x000000019034ae50  0x000000ec  __TEXT,__text  func  gen_prevlinkhdr_check
0x000000019034af3c  0x00000180  __TEXT,__text  func  gen_ehostop
0x000000019034b0bc  0x00000190  __TEXT,__text  func  gen_fhostop
0x000000019034b24c  0x00000180  __TEXT,__text  func  gen_thostop
0x000000019034b3cc  0x00000864  __TEXT,__text  func  gen_wlanhostop
0x000000019034bc30  0x00000180  __TEXT,__text  func  gen_ipfchostop
0x000000019034bdb0  0x000002dc  __TEXT,__text  func  gen_host6
0x000000019034c08c  0x000000fc  __TEXT,__text  func  gen_port
0x000000019034c188  0x000000fc  __TEXT,__text  func  gen_port6
0x000000019034c284  0x00000118  __TEXT,__text  func  gen_portrange
0x000000019034c39c  0x00000118  __TEXT,__text  func  gen_portrange6
0x000000019034c4b4  0x00000118  __TEXT,__text  func  lookup_proto
0x000000019034c5cc  0x00000488  __TEXT,__text  func  gen_proto
0x000000019034ca54  0x0000071c  __TEXT,__text  func  gen_protochain
0x000000019034d170  0x00000018  __TEXT,__text  func  syntax
0x000000019034d188  0x0000016c  __TEXT,__text  func  gen_mcode
0x000000019034d2f4  0x00000318  __TEXT,__text  func  gen_ncode
0x000000019034d60c  0x000001ec  __TEXT,__text  func  gen_mcode6
0x000000019034d7f8  0x00000188  __TEXT,__text  func  gen_ecode
0x000000019034d980  0x00000014  __TEXT,__text  func  sappend
0x000000019034d994  0x0000005c  __TEXT,__text  func  gen_load
0x000000019034d9f0  0x00000650  __TEXT,__text  func  gen_load_internal
0x000000019034e040  0x00000068  __TEXT,__text  func  gen_relation
0x000000019034e0a8  0x000001a4  __TEXT,__text  func  gen_relation_internal
0x000000019034e24c  0x000000ac  __TEXT,__text  func  gen_loadlen
0x000000019034e2f8  0x00000060  __TEXT,__text  func  alloc_reg
0x000000019034e358  0x00000034  __TEXT,__text  func  newchunk
0x000000019034e38c  0x00000040  __TEXT,__text  func  gen_loadi
0x000000019034e3cc  0x0000008c  __TEXT,__text  func  gen_loadi_internal
0x000000019034e458  0x000000dc  __TEXT,__text  func  gen_neg
0x000000019034e534  0x000001f8  __TEXT,__text  func  gen_arth
0x000000019034e72c  0x0000007c  __TEXT,__text  func  gen_greater
0x000000019034e7a8  0x0000008c  __TEXT,__text  func  gen_less
0x000000019034e834  0x00000184  __TEXT,__text  func  gen_byteop
0x000000019034e9b8  0x00000240  __TEXT,__text  func  gen_broadcast
0x000000019034ebf8  0x00000a98  __TEXT,__text  func  gen_linktype
0x000000019034f690  0x000004bc  __TEXT,__text  func  gen_multicast
0x000000019034fb4c  0x00000058  __TEXT,__text  func  gen_mac_multicast
0x000000019034fba4  0x000000a8  __TEXT,__text  func  gen_ifindex
0x000000019034fc4c  0x000002ac  __TEXT,__text  func  gen_inbound
0x000000019034fef8  0x00000098  __TEXT,__text  func  gen_pf_ifname
0x000000019034ff90  0x000001d0  __TEXT,__text  func  gen_bcmp
0x0000000190350160  0x00000098  __TEXT,__text  func  gen_pf_ruleset
0x00000001903501f8  0x00000094  __TEXT,__text  func  gen_pf_rnr
0x000000019035028c  0x00000094  __TEXT,__text  func  gen_pf_srnr
0x0000000190350320  0x00000094  __TEXT,__text  func  gen_pf_reason
0x00000001903503b4  0x00000094  __TEXT,__text  func  gen_pf_action
0x0000000190350448  0x000000a4  __TEXT,__text  func  gen_p80211_type
0x00000001903504ec  0x00000098  __TEXT,__text  func  gen_p80211_fcdir
0x0000000190350584  0x000001e0  __TEXT,__text  func  gen_acode
0x0000000190350764  0x000000d4  __TEXT,__text  func  gen_vlan
0x0000000190350838  0x000000fc  __TEXT,__text  func  gen_vlan_no_bpf_extensions
0x0000000190350934  0x0000016c  __TEXT,__text  func  gen_mpls
0x0000000190350aa0  0x0000003c  __TEXT,__text  func  gen_pppoed
0x0000000190350adc  0x00000120  __TEXT,__text  func  gen_pppoes
0x0000000190350bfc  0x00000700  __TEXT,__text  func  gen_geneve
0x00000001903512fc  0x00000068  __TEXT,__text  func  gen_atmfield_code
0x0000000190351364  0x00000108  __TEXT,__text  func  gen_atmfield_code_internal
0x000000019035146c  0x000002b8  __TEXT,__text  func  gen_atmtype_abbrev
0x0000000190351724  0x00000064  __TEXT,__text  func  gen_atmtype_metac
0x0000000190351788  0x00000064  __TEXT,__text  func  gen_atmtype_sc
0x00000001903517ec  0x0000027c  __TEXT,__text  func  gen_mtp2type_abbrev
0x0000000190351a68  0x000000c0  __TEXT,__text  func  gen_ncmp
0x0000000190351b28  0x0000026c  __TEXT,__text  func  gen_mtp3field_code
0x0000000190351d94  0x000002bc  __TEXT,__text  func  gen_atmmulti_abbrev
0x0000000190352050  0x000000b8  __TEXT,__text  func  gen_check_802_11_data_frame
0x0000000190352108  0x0000009c  __TEXT,__text  func  gen_load_absoffsetrel
0x00000001903521a4  0x0000013c  __TEXT,__text  func  gen_loadx_iphdrlen
0x00000001903522e0  0x0000006c  __TEXT,__text  func  gen_abs_offset_varpart
0x000000019035234c  0x000001c0  __TEXT,__text  func  gen_hostop
0x000000019035250c  0x00000358  __TEXT,__text  func  gen_dnhostop
0x0000000190352864  0x0000021c  __TEXT,__text  func  gen_hostop6
0x0000000190352a80  0x00000270  __TEXT,__text  func  gen_portop
0x0000000190352cf0  0x0000006c  __TEXT,__text  func  gen_ipfrag
0x0000000190352d5c  0x000001d0  __TEXT,__text  func  gen_portrangeop
0x0000000190352f2c  0x000000a0  __TEXT,__text  func  gen_portrangeatom
0x0000000190352fcc  0x00000068  __TEXT,__text  func  gen_cmp_le
0x0000000190353034  0x00000168  __TEXT,__text  func  gen_portrangeop6
0x000000019035319c  0x000000a8  __TEXT,__text  func  gen_portrangeatom6
0x0000000190353244  0x0000042c  __TEXT,__text  func  gen_ether_linktype
