//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/usr/lib/libpmenergy.dylib
// arch:    arm64e
// uuid:    56AB1ADA-30A3-3E96-82E2-C86F352B216B
// text:    0x00000001bb79b000
// count:   57 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001bb79b7e8  0x00000054  __TEXT,__text  func  pm_energy_impact
0x00000001bb79b83c  0x00000134  __TEXT,__text  func  pm_energy_impact_internal
0x00000001bb79b970  0x00000010  __TEXT,__text  func  pm_task_subtract_version
0x00000001bb79b980  0x00000d14  __TEXT,__text  sub  sub_1bb79b980
0x00000001bb79c694  0x00000010  __TEXT,__text  func  pm_task_subtract
0x00000001bb79c6a4  0x00000010  __TEXT,__text  func  pm_task_add_version
0x00000001bb79c6b4  0x00000010  __TEXT,__text  func  pm_task_add
0x00000001bb79c6c4  0x00000048  __TEXT,__text  func  pm_mach_time_to_ns
0x00000001bb79c70c  0x00000040  __TEXT,__text  sub  sub_1bb79c70c
0x00000001bb79c74c  0x000002a0  __TEXT,__text  sub  sub_1bb79c74c
0x00000001bb79c9ec  0x00000088  __TEXT,__text  sub  sub_1bb79c9ec
0x00000001bb79ca74  0x00000034  __TEXT,__text  sub  sub_1bb79ca74
0x00000001bb79caa8  0x0000001c  __TEXT,__text  sub  sub_1bb79caa8
0x00000001bb79cac4  0x0000001c  __TEXT,__text  sub  sub_1bb79cac4
0x00000001bb79cae0  0x00000014  __TEXT,__text  sub  sub_1bb79cae0
0x00000001bb79caf4  0x00000014  __TEXT,__text  sub  sub_1bb79caf4
0x00000001bb79cb08  0x00000018  __TEXT,__text  sub  sub_1bb79cb08
0x00000001bb79cb20  0x0000001c  __TEXT,__text  sub  sub_1bb79cb20
0x00000001bb79cb3c  0x00000014  __TEXT,__text  sub  sub_1bb79cb3c
0x00000001bb79cb50  0x00000054  __TEXT,__text  sub  sub_1bb79cb50
0x00000001bb79cba4  0x00000054  __TEXT,__text  sub  sub_1bb79cba4
0x00000001bb79cbf8  0x00000054  __TEXT,__text  sub  sub_1bb79cbf8
0x00000001bb79cc4c  0x0000005c  __TEXT,__text  sub  sub_1bb79cc4c
0x00000001bb79cca8  0x0000005c  __TEXT,__text  sub  sub_1bb79cca8
0x00000001bb79cd04  0x0000005c  __TEXT,__text  sub  sub_1bb79cd04
0x00000001bb79cd60  0x00000054  __TEXT,__text  sub  sub_1bb79cd60
0x00000001bb79cdb4  0x00000054  __TEXT,__text  sub  sub_1bb79cdb4
0x00000001bb79ce08  0x00000054  __TEXT,__text  sub  sub_1bb79ce08
0x00000001bb79ce5c  0x00000054  __TEXT,__text  sub  sub_1bb79ce5c
0x00000001bb79ceb0  0x00000054  __TEXT,__text  sub  sub_1bb79ceb0
0x00000001bb79cf04  0x00000054  __TEXT,__text  sub  sub_1bb79cf04
0x00000001bb79cf58  0x00000054  __TEXT,__text  sub  sub_1bb79cf58
0x00000001bb79cfac  0x00000054  __TEXT,__text  sub  sub_1bb79cfac
0x00000001bb79d000  0x00000054  __TEXT,__text  sub  sub_1bb79d000
0x00000001bb79d054  0x00000054  __TEXT,__text  sub  sub_1bb79d054
0x00000001bb79d0a8  0x00000054  __TEXT,__text  sub  sub_1bb79d0a8
0x00000001bb79d0fc  0x00000054  __TEXT,__text  sub  sub_1bb79d0fc
0x00000001bb79d150  0x00000054  __TEXT,__text  sub  sub_1bb79d150
0x00000001bb79d1a4  0x00000054  __TEXT,__text  sub  sub_1bb79d1a4
0x00000001bb79d1f8  0x00000054  __TEXT,__text  sub  sub_1bb79d1f8
0x00000001bb79d24c  0x00000054  __TEXT,__text  sub  sub_1bb79d24c
0x00000001bb79d2a0  0x00000054  __TEXT,__text  sub  sub_1bb79d2a0
0x00000001bb79d2f4  0x00000054  __TEXT,__text  sub  sub_1bb79d2f4
0x00000001bb79d348  0x00000054  __TEXT,__text  sub  sub_1bb79d348
0x00000001bb79d39c  0x00000054  __TEXT,__text  sub  sub_1bb79d39c
0x00000001bb79d3f0  0x00000054  __TEXT,__text  sub  sub_1bb79d3f0
0x00000001bb79d444  0x00000054  __TEXT,__text  sub  sub_1bb79d444
0x00000001bb79d498  0x00000054  __TEXT,__text  sub  sub_1bb79d498
0x00000001bb79d4ec  0x00000054  __TEXT,__text  sub  sub_1bb79d4ec
0x00000001bb79d540  0x0000005c  __TEXT,__text  sub  sub_1bb79d540
0x00000001bb79d59c  0x0000005c  __TEXT,__text  sub  sub_1bb79d59c
0x00000001bb79d5f8  0x0000005c  __TEXT,__text  sub  sub_1bb79d5f8
0x00000001bb79d654  0x00000054  __TEXT,__text  sub  sub_1bb79d654
0x00000001bb79d6a8  0x00000054  __TEXT,__text  sub  sub_1bb79d6a8
0x00000001bb79d6fc  0x00000054  __TEXT,__text  sub  sub_1bb79d6fc
0x00000001bb79d750  0x00000004  __TEXT,__text  sub  sub_1bb79d750
0x00000001bb79d754  0x00000000  __TEXT,__text  sub  sub_1bb79d754
