//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/usr/lib/libsandbox.1.dylib
// arch:    arm64e
// uuid:    49183564-A3DB-3687-B7B4-CF467690997E
// text:    0x0000000184946000
// count:   928 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000184946848  0x0000007c  __TEXT,__text  func  sandbox_create_params
0x00000001849468c4  0x00000104  __TEXT,__text  func  sandbox_set_param
0x00000001849469c8  0x000000b4  __TEXT,__text  func  sandbox_compile_named
0x0000000184946a7c  0x0000015c  __TEXT,__text  func  sandbox_compile_file
0x0000000184946bd8  0x00002190  __TEXT,__text  func  compile
0x0000000184948d68  0x00000068  __TEXT,__text  func  sb_context_retain
0x0000000184948dd0  0x000000bc  __TEXT,__text  func  sb_textbuf_with_string_copy
0x0000000184948e8c  0x00000330  __TEXT,__text  func  sb_context_intern_string
0x00000001849491bc  0x00000078  __TEXT,__text  func  sb_hash_compute
0x0000000184949234  0x00000050  __TEXT,__text  func  free_bytes_in_buffer
0x0000000184949284  0x00000098  __TEXT,__text  func  sb_buffer_alloc
0x000000018494931c  0x000000a0  __TEXT,__text  func  sb_program_source_alloc
0x00000001849493bc  0x00000108  __TEXT,__text  func  sb_instr_action
0x00000001849494c4  0x000000cc  __TEXT,__text  func  sb_instr_new
0x0000000184949590  0x00000090  __TEXT,__text  func  sb_instr_retain
0x0000000184949620  0x000001f0  __TEXT,__text  func  sb_instr_release
0x0000000184949810  0x00000070  __TEXT,__text  func  scheme_init_new
0x0000000184949880  0x000005c4  __TEXT,__text  func  scheme_init_custom_alloc
0x0000000184949e44  0x00000088  __TEXT,__text  func  scheme_enable_full_backtraces
0x0000000184949ecc  0x000001c8  __TEXT,__text  func  alloc_cellseg
0x000000018494a094  0x0000019c  __TEXT,__text  func  mk_vector
0x000000018494a230  0x0000009c  __TEXT,__text  func  find_consecutive_cells
0x000000018494a2cc  0x00000050  __TEXT,__text  func  fill_vector
0x000000018494a31c  0x000000b0  __TEXT,__text  func  new_frame_in_env
0x000000018494a3cc  0x000000b0  __TEXT,__text  func  get_cell
0x000000018494a47c  0x00000058  __TEXT,__text  func  mk_symbol
