//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/libsasl2.2.dylib
// arch:    arm64e
// uuid:    28BFB13B-08D2-3705-A634-B4E888613489
// text:    0x000000019455e000
// count:   194 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000019455e8b8  0x000001a4  __TEXT,__text  func  sasl_client_init
0x000000019455ea5c  0x000002b0  __TEXT,__text  func  _sasl_alloc_utils
0x000000019455ed0c  0x00000050  __TEXT,__text  func  sasl_randcreate
0x000000019455ed5c  0x000001b8  __TEXT,__text  func  sasl_client_add_plugin
0x000000019455ef14  0x00000078  __TEXT,__text  func  external_client_plug_init
0x000000019455ef8c  0x00000068  __TEXT,__text  func  _sasl_strdup
0x000000019455eff4  0x000000bc  __TEXT,__text  func  _sasl_common_init
0x000000019455f0b0  0x00000134  __TEXT,__text  func  sasl_canonuser_add_plugin
0x000000019455f1e4  0x00000038  __TEXT,__text  func  internal_canonuser_init
0x000000019455f21c  0x0000003c  __TEXT,__text  func  sasl_mutex_alloc
0x000000019455f258  0x00000034  __TEXT,__text  func  _sasl_find_getpath_callback
0x000000019455f28c  0x00000034  __TEXT,__text  func  _sasl_find_verifyfile_callback
0x000000019455f2c0  0x00000324  __TEXT,__text  func  _sasl_load_plugins
0x000000019455f5e4  0x00000078  __TEXT,__text  func  _sasl_getpath
0x000000019455f65c  0x0000006c  __TEXT,__text  func  _sasl_get_default_unix_path
0x000000019455f6c8  0x00000348  __TEXT,__text  func  _parse_la
0x000000019455fa10  0x000000cc  __TEXT,__text  func  _sasl_get_plugin
0x000000019455fadc  0x00000008  __TEXT,__text  func  _sasl_verifyfile
0x000000019455fae4  0x00000084  __TEXT,__text  func  _sasl_plugin_load
0x000000019455fb68  0x00000074  __TEXT,__text  func  _sasl_locate_entry
0x000000019455fbdc  0x00000154  __TEXT,__text  func  _sasl_build_mechlist
0x000000019455fd30  0x000000b0  __TEXT,__text  func  _sasl_client_mechs
0x000000019455fde0  0x000000b0  __TEXT,__text  func  _sasl_server_mechs
0x000000019455fe90  0x00000450  __TEXT,__text  func  sasl_client_new
0x00000001945602e0  0x00000228  __TEXT,__text  func  _sasl_conn_init
0x0000000194560508  0x000004f4  __TEXT,__text  func  sasl_setprop
0x00000001945609fc  0x000000a4  __TEXT,__text  func  _buf_alloc
0x0000000194560aa0  0x00000230  __TEXT,__text  func  _sasl_getcallback
0x0000000194560cd0  0x000000c4  __TEXT,__text  func  _sasl_conn_getopt
0x0000000194560d94  0x000000c4  __TEXT,__text  func  _sasl_global_getopt
0x0000000194560e58  0x00000088  __TEXT,__text  func  sasl_config_getstring
0x0000000194560ee0  0x000000f8  __TEXT,__text  func  get_fqhostname
0x0000000194560fd8  0x000006d0  __TEXT,__text  func  sasl_client_start
0x00000001945616a8  0x000000a0  __TEXT,__text  func  _sasl_is_equal_mech
0x0000000194561748  0x00000078  __TEXT,__text  func  have_prompts
0x00000001945617c0  0x0000015c  __TEXT,__text  func  sasl_client_step
0x000000019456191c  0x000000e8  __TEXT,__text  func  _sasl_canon_user_lookup
0x0000000194561a04  0x00000284  __TEXT,__text  func  _sasl_canon_user
0x0000000194561c88  0x00000324  __TEXT,__text  func  sasl_seterror
0x0000000194561fac  0x00000014  __TEXT,__text  func  _sasl_get_errorbuf
0x0000000194561fc0  0x0000009c  __TEXT,__text  func  _sasl_add_string
0x000000019456205c  0x0000001c  __TEXT,__text  func  _cu_internal_client
0x0000000194562078  0x00000268  __TEXT,__text  func  _canonuser_internal
0x00000001945622e0  0x000002fc  __TEXT,__text  func  sasl_getprop
0x00000001945625dc  0x0000005c  __TEXT,__text  sub  sub_1945625dc
0x0000000194562638  0x00000154  __TEXT,__text  func  sasl_client_plugin_info
0x000000019456278c  0x00000090  __TEXT,__text  func  sasl_dispose
0x000000019456281c  0x00000020  __TEXT,__text  func  sasl_mutex_lock
0x000000019456283c  0x000000c8  __TEXT,__text  func  client_dispose
0x0000000194562904  0x00000060  __TEXT,__text  func  _sasl_free_utils
0x0000000194562964  0x00000014  __TEXT,__text  func  sasl_randfree
0x0000000194562978  0x000000e4  __TEXT,__text  func  _sasl_conn_dispose
0x0000000194562a5c  0x00000020  __TEXT,__text  func  sasl_mutex_unlock
0x0000000194562a7c  0x00000234  __TEXT,__text  func  _plug_ipfromstring
0x0000000194562cb0  0x00000150  __TEXT,__text  func  _plug_iovec_to_buf
0x0000000194562e00  0x0000011c  __TEXT,__text  func  _plug_buf_alloc
0x0000000194562f1c  0x000000d4  __TEXT,__text  func  _plug_strdup
0x0000000194562ff0  0x00000068  __TEXT,__text  func  _plug_free_string
0x0000000194563058  0x00000054  __TEXT,__text  func  _plug_free_secret
0x00000001945630ac  0x00000030  __TEXT,__text  func  _plug_find_prompt
0x00000001945630dc  0x0000011c  __TEXT,__text  func  _plug_get_simple
0x00000001945631f8  0x00000174  __TEXT,__text  func  _plug_get_password
0x000000019456336c  0x00000120  __TEXT,__text  func  _plug_challenge_prompt
0x000000019456348c  0x00000104  __TEXT,__text  func  _plug_get_realm
0x0000000194563590  0x000001ac  __TEXT,__text  func  _plug_make_prompts
0x000000019456373c  0x00000208  __TEXT,__text  func  _plug_decode
0x0000000194563944  0x00000174  __TEXT,__text  func  _plug_parseuser
0x0000000194563ab8  0x000004a0  __TEXT,__text  func  sasl_setpass
0x0000000194563f58  0x000001e8  __TEXT,__text  func  sasl_server_add_plugin
0x0000000194564140  0x0000009c  __TEXT,__text  func  mech_compare
0x00000001945641dc  0x0000007c  __TEXT,__text  func  sasl_server_done
0x0000000194564258  0x000002ac  __TEXT,__text  func  sasl_server_init
0x0000000194564504  0x000000dc  __TEXT,__text  func  server_done
0x00000001945645e0  0x0000005c  __TEXT,__text  func  init_mechlist
0x000000019456463c  0x0000018c  __TEXT,__text  func  load_config
0x00000001945647c8  0x00000208  __TEXT,__text  func  parse_mechlist_file
0x00000001945649d0  0x00000074  __TEXT,__text  func  server_idle
0x0000000194564a44  0x00000278  __TEXT,__text  func  sasl_server_init_alt
0x0000000194564cbc  0x00000520  __TEXT,__text  func  sasl_server_new
0x00000001945651dc  0x00000134  __TEXT,__text  func  server_dispose
0x0000000194565310  0x00000288  __TEXT,__text  func  _sasl_checkpass
0x0000000194565598  0x00000180  __TEXT,__text  func  _sasl_transition
0x0000000194565718  0x00000410  __TEXT,__text  func  sasl_server_start
0x0000000194565b28  0x00000298  __TEXT,__text  func  mech_permitted
0x0000000194565dc0  0x0000026c  __TEXT,__text  func  sasl_server_step
0x000000019456602c  0x000000e8  __TEXT,__text  func  do_authorization
0x0000000194566114  0x00000318  __TEXT,__text  func  _sasl_server_listmech
0x000000019456642c  0x000000cc  __TEXT,__text  func  sasl_checkpass
0x00000001945664f8  0x0000024c  __TEXT,__text  func  sasl_user_exists
0x0000000194566744  0x00000070  __TEXT,__text  func  is_mech
0x00000001945667b4  0x00000200  __TEXT,__text  func  sasl_checkapop
0x00000001945669b4  0x00000144  __TEXT,__text  func  sasl_server_plugin_info
0x0000000194566af8  0x000003a8  __TEXT,__text  func  _sasl_print_mechanism
0x0000000194566ea0  0x00000104  __TEXT,__text  func  grab_field
