//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/libtls.15.dylib
// arch:    arm64e
// uuid:    EF3BC286-09F3-3283-837F-ED068EE2AB4B
// text:    0x0000000284a2c000
// count:   136 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000284a2c770  0x00000068  __TEXT,__text  func  tls_init
0x0000000284a2c7d8  0x00000008  __TEXT,__text  func  tls_error
0x0000000284a2c7e0  0x0000002c  __TEXT,__text  func  tls_error_clear
0x0000000284a2c80c  0x0000007c  __TEXT,__text  func  tls_config_set_error  // aliases: tls_error_set
0x0000000284a2c888  0x000000f4  __TEXT,__text  func  tls_error_vset
0x0000000284a2c97c  0x00000060  __TEXT,__text  func  tls_config_set_errorx  // aliases: tls_error_setx
0x0000000284a2c9dc  0x0000007c  __TEXT,__text  func  tls_set_error
0x0000000284a2ca58  0x00000064  __TEXT,__text  func  tls_set_errorx
0x0000000284a2cabc  0x00000074  __TEXT,__text  func  tls_set_ssl_errorx
0x0000000284a2cb30  0x0000001c  __TEXT,__text  func  tls_sni_ctx_new
0x0000000284a2cb4c  0x0000004c  __TEXT,__text  func  tls_sni_ctx_free
0x0000000284a2cb98  0x00000058  __TEXT,__text  func  tls_new
0x0000000284a2cbf0  0x000000a4  __TEXT,__text  func  tls_reset
0x0000000284a2cc94  0x00000028  __TEXT,__text  func  tls_configure
0x0000000284a2ccbc  0x00000178  __TEXT,__text  func  tls_configure_ssl_keypair
0x0000000284a2ce34  0x000001bc  __TEXT,__text  func  tls_configure_ssl
0x0000000284a2cff0  0x00000194  __TEXT,__text  func  tls_configure_ssl_verify
0x0000000284a2d184  0x00000080  __TEXT,__text  func  tls_ssl_cert_verify_cb
0x0000000284a2d204  0x00000040  __TEXT,__text  func  tls_free
0x0000000284a2d244  0x00000120  __TEXT,__text  func  tls_ssl_error
0x0000000284a2d364  0x000000b4  __TEXT,__text  func  tls_handshake
0x0000000284a2d418  0x000000c4  __TEXT,__text  func  tls_read
0x0000000284a2d4dc  0x000000c4  __TEXT,__text  func  tls_write
0x0000000284a2d5a0  0x00000150  __TEXT,__text  func  tls_close
0x0000000284a2d6f0  0x00000028  __TEXT,__text  func  tls_client
0x0000000284a2d718  0x00000008  __TEXT,__text  func  tls_connect
0x0000000284a2d720  0x00000280  __TEXT,__text  func  tls_connect_servername
0x0000000284a2d9a0  0x0000000c  __TEXT,__text  func  tls_connect_socket
0x0000000284a2d9ac  0x00000098  __TEXT,__text  func  tls_connect_fds
