//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/usr/lib/libxcselect.dylib
// arch:    arm64e
// uuid:    2856942D-B495-38EC-AD47-DBC2EE7380AB
// text:    0x00000001965e8000
// count:   33 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001965e8728  0x00000358  __TEXT,__text  func  xcselect_get_developer_dir_path
0x00000001965e8a80  0x000000d4  __TEXT,__text  func  get_developer_dir_from_symlink
0x00000001965e8b54  0x00000054  __TEXT,__text  func  path_is_dir
0x00000001965e8ba8  0x00000134  __TEXT,__text  func  xcselect_developer_dir_matches_path
0x00000001965e8cdc  0x00000068  __TEXT,__text  func  str_endswith
0x00000001965e8d44  0x000002dc  __TEXT,__text  func  is_path_xcrun_shim
0x00000001965e9020  0x00000044  __TEXT,__text  func  path_exists
0x00000001965e9064  0x00000078  __TEXT,__text  func  path_append
0x00000001965e90dc  0x00000058  __TEXT,__text  func  path_join
0x00000001965e9134  0x0000000c  __TEXT,__text  func  xcselect_get_version
0x00000001965e9140  0x000001fc  __TEXT,__text  func  xcselect_find_developer_contents_from_path
0x00000001965e933c  0x000000ec  __TEXT,__text  func  path_contains_xcrun
0x00000001965e9428  0x000002c0  __TEXT,__text  func  xcselect_host_sdk_path
0x00000001965e96e8  0x00000100  __TEXT,__text  func  sdks_at_path
0x00000001965e97e8  0x000002b0  __TEXT,__text  func  xcselect_invoke_xcrun
0x00000001965e9a98  0x00000110  __TEXT,__text  func  xcselect_invoke_xcrun_via_library
0x00000001965e9ba8  0x00000008  __TEXT,__text  func  xcselect_manpaths_get_num_paths
0x00000001965e9bb0  0x00000020  __TEXT,__text  func  xcselect_manpaths_get_path
0x00000001965e9bd0  0x0000005c  __TEXT,__text  func  xcselect_manpaths_free
0x00000001965e9c2c  0x00000224  __TEXT,__text  func  xcselect_get_manpaths
0x00000001965e9e50  0x00000008  __TEXT,__text  func  __xcselect_get_manpaths_block_invoke
0x00000001965e9e58  0x00000070  __TEXT,__text  func  xcselect_manpaths_append
0x00000001965e9ec8  0x00000090  __TEXT,__text  func  xcselect_bundle_is_developer_tool
0x00000001965e9f58  0x000000a8  __TEXT,__text  func  __host_version_block_invoke
0x00000001965ea000  0x00000060  __TEXT,__text  func  __xcselect_invoke_xcrun_via_library_block_invoke
0x00000001965ea060  0x0000031c  __TEXT,__text  func  xcselect_trigger_install_request
0x00000001965ea37c  0x00000064  __TEXT,__text  func  lazyCFSymbol
0x00000001965ea3e0  0x0000002c  __TEXT,__text  func  __lazyCFSymbol_block_invoke
0x00000001965ea40c  0x000000f8  __TEXT,__text  func  xcselect_invoke_xcrun_via_binary
0x00000001965ea504  0x00000014  __TEXT,__text  func  xcselect_host_sdk_path.cold.1
0x00000001965ea518  0x00000020  __TEXT,__text  func  __host_version_block_invoke.cold.1
0x00000001965ea538  0x00001300  __TEXT,__text  func  lazyCFSymbol.cold.1
0x00000001965eb838  0x00000000  __TEXT,__const  func  xcselect_bundle_is_developer_tool.prefix
