//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/usr/lib/rdma/libccan.dylib
// arch:    arm64e
// uuid:    5C6655A2-AF70-3158-ACF2-AA77F9811A95
// text:    0x0000000284bfb000
// count:   10 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000284bfb518  0x00000074  __TEXT,__text  func  list_check_node
0x0000000284bfb58c  0x00000040  __TEXT,__text  func  corrupt
0x0000000284bfb5cc  0x0000002c  __TEXT,__text  func  list_check
0x0000000284bfb5f8  0x00000064  __TEXT,__text  func  strcount
0x0000000284bfb65c  0x00000040  __TEXT,__text  func  ilog32
0x0000000284bfb69c  0x00000040  __TEXT,__text  func  ilog32_nz
0x0000000284bfb6dc  0x0000004c  __TEXT,__text  func  ilog64
0x0000000284bfb728  0x000000b4  __TEXT,__text  func  ilog64_nz
0x0000000284bfb7dc  0x00000020  __TEXT,__const  func  DEBRUIJN_IDX32
0x0000000284bfb7fc  0x00000000  __TEXT,__const  func  ilog64.DEBRUIJN_IDX64
