//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/system/libcorecrypto_trace.dylib
// arch:    arm64e
// uuid:    796F4BA5-EB35-32FD-9DD2-11FD79A0A1A6
// text:    0x00000002850e4000
// count:   2680 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002850e4b40  0x00000004  __TEXT,__text  func  ccsha512_vng_arm_hw_compress
0x00000002850e4b44  0x0000004c  __TEXT,__text  func  ccmode_factory_cfb8_decrypt
0x00000002850e4b90  0x00000004  __TEXT,__text  func  ccmlkem_ntt_forward_cbd_eta2
0x00000002850e4b94  0x000004dc  __TEXT,__text  func  ccmlkem_ntt_basemul_cache_compute
0x00000002850e5070  0x0000027c  __TEXT,__text  func  ccmlkem_polyvec_basemul
0x00000002850e52ec  0x0000019c  __TEXT,__text  func  ccdigest_parallel_internal
0x00000002850e5488  0x00000200  __TEXT,__text  func  ccdigest_parallel_update_internal
0x00000002850e5688  0x00000078  __TEXT,__text  func  ccdigest_parallel
0x00000002850e5700  0x0000000c  __TEXT,__text  func  cccast_ecb_decrypt_mode
0x00000002850e570c  0x0000000c  __TEXT,__text  func  cccast_ecb_encrypt_mode
0x00000002850e5718  0x00000038  __TEXT,__text  func  cccast_cbc_encrypt_mode
0x00000002850e5750  0x00000038  __TEXT,__text  func  cccast_cbc_decrypt_mode
0x00000002850e5788  0x00000038  __TEXT,__text  func  cccast_cfb_encrypt_mode
0x00000002850e57c0  0x00000038  __TEXT,__text  func  cccast_cfb_decrypt_mode
0x00000002850e57f8  0x00000038  __TEXT,__text  func  cccast_cfb8_encrypt_mode
0x00000002850e5830  0x00000038  __TEXT,__text  func  cccast_cfb8_decrypt_mode
0x00000002850e5868  0x00000038  __TEXT,__text  func  cccast_ctr_crypt_mode
0x00000002850e58a0  0x00000038  __TEXT,__text  func  cccast_ofb_crypt_mode
0x00000002850e58d8  0x00000060  __TEXT,__text  func  ccec_compact_import_pub_size
0x00000002850e5938  0x000000b4  __TEXT,__text  func  ccec_compact_import_pub
0x00000002850e59ec  0x00000060  __TEXT,__text  func  ccecdh_generate_key_ws
0x00000002850e5a4c  0x00000110  __TEXT,__text  func  ccecdh_generate_key
0x00000002850e5b5c  0x00000008  __TEXT,__text  func  cch2c_hash_to_base_ws
0x00000002850e5b64  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_1  // aliases: OUTLINED_FUNCTION_0
0x00000002850e5b74  0x000000a8  __TEXT,__text  func  cczp_inv_field_ws
0x00000002850e5c1c  0x000001d4  __TEXT,__text  func  ccec_generate_key_legacy
0x00000002850e5df0  0x0000006c  __TEXT,__text  func  ccdh_copy_gp
0x00000002850e5e5c  0x0000022c  __TEXT,__text  func  ccz_expmod
0x00000002850e6088  0x00000154  __TEXT,__text  func  ccecies_decrypt_gcm_composite
0x00000002850e61dc  0x00000168  __TEXT,__text  func  ccecies_decrypt_gcm_composite_ws
0x00000002850e6344  0x000001cc  __TEXT,__text  func  ccecies_decrypt_gcm
0x00000002850e6510  0x000000d8  __TEXT,__text  func  ccmode_siv_auth
0x00000002850e65e8  0x00000268  __TEXT,__text  func  ccmode_siv_auth_finalize
0x00000002850e6850  0x00000054  __TEXT,__text  func  ccmode_factory_siv_encrypt
0x00000002850e68a4  0x00000258  __TEXT,__text  func  ccec_diversify_pub_twin
0x00000002850e6afc  0x00000008  __TEXT,__text  func  sizeof_struct_ccpolyzp_po2cyc_block_rng_state
0x00000002850e6b04  0x00000014  __TEXT,__text  func  CCPOLYZP_PO2CYC_RANDOM_UNIFORM_WORKSPACE_N
0x00000002850e6b18  0x00000024  __TEXT,__text  func  CCPOLYZP_PO2CYC_RANDOM_TERNARY_WORKSPACE_N
0x00000002850e6b3c  0x00000020  __TEXT,__text  func  CCPOLYZP_PO2CYC_RANDOM_CBD_WORKSPACE_N
0x00000002850e6b5c  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x00000002850e6b6c  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x00000002850e6b7c  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x00000002850e6b90  0x00000014  __TEXT,__text  func  ccss_shamir_init_share_poly
0x00000002850e6ba4  0x00001138  __TEXT,__text  func  sha1_compress
0x00000002850e7cdc  0x00000078  __TEXT,__text  func  ccmode_factory_xts_encrypt
0x00000002850e7d54  0x00000030  __TEXT,__text  func  ccsigma_mfi_info
0x00000002850e7d84  0x00000130  __TEXT,__text  func  mfi_info_init
