//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/system/libsystem_configuration.dylib
// arch:    arm64e
// uuid:    0F7BBC1C-3D50-3E59-A31F-E4672A80BCEB
// text:    0x000000018df10000
// count:   75 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000018df10a60  0x000005fc  __TEXT,__text  func  dns_configuration_copy
0x000000018df1105c  0x00000058  __TEXT,__text  func  libSC_info_available
0x000000018df110b4  0x00000060  __TEXT,__text  func  ____dns_configuration_queue_block_invoke
0x000000018df11114  0x000000d4  __TEXT,__text  func  __dns_configuration_copy_block_invoke
0x000000018df111e8  0x00000054  __TEXT,__text  func  __dns_configuration_copy_block_invoke_2
0x000000018df1123c  0x0000014c  __TEXT,__text  func  libSC_info_client_create
0x000000018df11388  0x000001cc  __TEXT,__text  func  libSC_send_message_with_reply_sync
0x000000018df11554  0x000000c0  __TEXT,__text  func  dns_configuration_free
0x000000018df11614  0x00000074  __TEXT,__text  func  __dns_configuration_free_block_invoke
0x000000018df11688  0x0000005c  __TEXT,__text  func  libSC_info_client_release
0x000000018df116e4  0x0000008c  __TEXT,__text  func  is_config_agent_type_proxy
0x000000018df11770  0x0000008c  __TEXT,__text  func  is_config_agent_type_dns
0x000000018df117fc  0x00000100  __TEXT,__text  func  config_agent_copy_dns_information
0x000000018df118fc  0x000000b4  __TEXT,__text  func  config_agent_get_dns_nameservers
0x000000018df119b0  0x000000b4  __TEXT,__text  func  config_agent_get_dns_searchdomains
0x000000018df11a64  0x00000090  __TEXT,__text  func  config_agent_free_dns_information
0x000000018df11af4  0x00000048  __TEXT,__text  func  _libSC_info_fork_prepare
0x000000018df11b3c  0x00000048  __TEXT,__text  func  _libSC_info_fork_parent
0x000000018df11b84  0x000002d8  __TEXT,__text  func  nwi_state_copy
0x000000018df11e5c  0x000000a8  __TEXT,__text  func  nwi_state_release
0x000000018df11f04  0x00000050  __TEXT,__text  func  dns_configuration_notify_key
0x000000018df11f54  0x00000130  __TEXT,__text  func  _dns_configuration_ack
0x000000018df12084  0x00000058  __TEXT,__text  func  ___dns_configuration_ack_block_invoke
0x000000018df120dc  0x00000028  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x000000018df12104  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x000000018df12118  0x00000050  __TEXT,__text  func  nwi_state_get_notify_key
0x000000018df12168  0x0000005c  __TEXT,__text  func  _nwi_state_force_refresh
0x000000018df121c4  0x00000080  __TEXT,__text  func  _nwi_client_release
0x000000018df12244  0x00000160  __TEXT,__text  func  _nwi_config_agent_copy_data
0x000000018df123a4  0x00000080  __TEXT,__text  func  _nwi_client_init
0x000000018df12424  0x00000090  __TEXT,__text  func  __nwi_state_copy_block_invoke
0x000000018df124b4  0x0000012c  __TEXT,__text  func  _nwi_state_ack
0x000000018df125e0  0x00000058  __TEXT,__text  func  ___nwi_state_ack_block_invoke
0x000000018df12638  0x0000004c  __TEXT,__text  func  nwi_state_get_generation
0x000000018df12684  0x0000004c  __TEXT,__text  func  nwi_ifstate_get_generation
0x000000018df126d0  0x00000048  __TEXT,__text  func  nwi_ifstate_get_ifname
0x000000018df12718  0x000000a4  __TEXT,__text  func  nwi_ifstate_get_flags
0x000000018df127bc  0x0000009c  __TEXT,__text  func  nwi_state_get_first_ifstate
0x000000018df12858  0x000000e0  __TEXT,__text  func  nwi_state_get_ifstate
0x000000018df12938  0x0000008c  __TEXT,__text  func  nwi_ifstate_get_next
0x000000018df129c4  0x0000005c  __TEXT,__text  func  nwi_ifstate_compare_rank
0x000000018df12a20  0x0000017c  __TEXT,__text  func  nwi_state_get_reachability_flags
0x000000018df12b9c  0x00000058  __TEXT,__text  func  nwi_ifstate_get_vpn_server
0x000000018df12bf4  0x0000004c  __TEXT,__text  func  nwi_ifstate_get_reachability_flags
0x000000018df12c40  0x0000009c  __TEXT,__text  func  nwi_ifstate_get_signature
0x000000018df12cdc  0x00000178  __TEXT,__text  func  nwi_ifstate_get_dns_signature
0x000000018df12e54  0x000000a8  __TEXT,__text  func  nwi_state_get_interface_names
0x000000018df12efc  0x00000074  __TEXT,__text  func  ___nwi_client_release_block_invoke
0x000000018df12f70  0x000000d4  __TEXT,__text  func  ___nwi_client_init_block_invoke
0x000000018df13044  0x00000054  __TEXT,__text  func  ___nwi_client_init_block_invoke_2
0x000000018df13098  0x00000060  __TEXT,__text  func  ____nwi_client_queue_block_invoke
0x000000018df130f8  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x000000018df1310c  0x0000005c  __TEXT,__text  func  _libSC_info_fork_child
0x000000018df13168  0x00000230  __TEXT,__text  func  __libSC_info_client_create_block_invoke
0x000000018df13398  0x000000c0  __TEXT,__text  func  log_xpc_object
0x000000018df13458  0x000000a4  __TEXT,__text  func  libSC_client_dealloc
0x000000018df134fc  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x000000018df13510  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x000000018df13524  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x000000018df13534  0x000000cc  __TEXT,__text  func  config_agent_copy_proxy_information
0x000000018df13600  0x0000020c  __TEXT,__text  func  config_agent_update_proxy_information
0x000000018df1380c  0x00000090  __TEXT,__text  func  config_agent_free_proxy_information
0x000000018df1389c  0x000000ac  __TEXT,__text  func  __get_agent_uuid_if_OOB_data_required_block_invoke
0x000000018df13948  0x00000064  __TEXT,__text  func  __copy_helper_block_8_32r
0x000000018df139ac  0x00000060  __TEXT,__text  func  __destroy_helper_block_8_32r
0x000000018df13a0c  0x0000003c  __TEXT,__text  func  __dns_configuration_copy_block_invoke.cold.2  // aliases: dns_configuration_free.cold.1, _dns_configuration_ack.cold.1, dns_configuration_copy.cold.1
0x000000018df13a48  0x00000048  __TEXT,__text  func  __dns_configuration_copy_block_invoke.cold.1
0x000000018df13a90  0x0000003c  __TEXT,__text  func  _nwi_client_init.cold.1  // aliases: _nwi_state_ack.cold.1, ___nwi_client_init_block_invoke.cold.2, _nwi_client_release.cold.1
0x000000018df13acc  0x00000048  __TEXT,__text  func  nwi_state_copy.cold.1
0x000000018df13b14  0x00000048  __TEXT,__text  func  ___nwi_client_init_block_invoke.cold.1
0x000000018df13b5c  0x00000090  __TEXT,__text  func  __libSC_info_client_create_block_invoke.cold.1
0x000000018df13bec  0x00000068  __TEXT,__text  func  __libSC_info_client_create_block_invoke.cold.2
0x000000018df13c54  0x00000394  __TEXT,__text  func  libSC_send_message_with_reply_sync.cold.1
0x000000018df13fe8  0x00000048  __TEXT,__const  func  libsystem_configurationVersionString
0x000000018df14030  0x00000000  __TEXT,__const  func  libsystem_configurationVersionNumber
