//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/system/libsystem_darwindirectory.dylib
// arch:    arm64e
// uuid:    CF277A2C-C818-3F16-8B3F-3C7B39FCD164
// text:    0x0000000285194000
// count:   73 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000285194a58  0x000002a4  __TEXT,__text  func  _ddrsReaderApplyToStore
0x0000000285194cfc  0x000003bc  __TEXT,__text  func  _ddrsReaderUpdateRecordStoreIfNeeded
0x00000002851950b8  0x00000040  __TEXT,__text  func  _ddrsGetGeneration
0x00000002851950f8  0x000000ac  __TEXT,__text  func  _ddrsReaderUnloadRecordStore
0x00000002851951a4  0x00000458  __TEXT,__text  func  _ddrsReaderLoadAndValidateRecordStoreAtPath
0x00000002851955fc  0x00000104  __TEXT,__text  func  ___ddrsReaderExtractRecordStoreBootUUID_block_invoke
0x0000000285195700  0x00000010  __TEXT,__text  func  __copy_helper_block_8_32r
0x0000000285195710  0x0000000c  __TEXT,__text  func  __destroy_helper_block_8_32r
0x000000028519571c  0x00000488  __TEXT,__text  func  ___ddrsReaderApplyToStoreRecords_block_invoke
0x0000000285195ba4  0x00000010  __TEXT,__text  func  __copy_helper_block_8_32b
0x0000000285195bb4  0x0000000c  __TEXT,__text  func  __destroy_helper_block_8_32b
0x0000000285195bc0  0x000000c0  __TEXT,__text  func  ___ddrsReaderFindStoreRecordIndex_block_invoke
0x0000000285195c80  0x00000050  __TEXT,__text  func  __copy_helper_block_8_32r40r
0x0000000285195cd0  0x00000044  __TEXT,__text  func  __destroy_helper_block_8_32r40r
0x0000000285195d14  0x0000003c  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x0000000285195d50  0x0000002c  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x0000000285195d7c  0x00000024  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x0000000285195da0  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_3
0x0000000285195db4  0x00000034  __TEXT,__text  func  OUTLINED_FUNCTION_4
0x0000000285195de8  0x00000018  __TEXT,__text  func  OUTLINED_FUNCTION_5
0x0000000285195e00  0x0000001c  __TEXT,__text  func  OUTLINED_FUNCTION_6
0x0000000285195e1c  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_7
0x0000000285195e30  0x00000064  __TEXT,__text  func  DarwinDirectoryRecordStoreApplyWithFilter
0x0000000285195e94  0x00000058  __TEXT,__text  func  DarwinDirectoryRecordStoreApply
