//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/usr/lib/system/libxpc.dylib
// arch:    arm64e
// uuid:    C40FCAE8-7A17-3D82-87CB-3DA4802ADEF1
// text:    0x00000001801bf000
// count:   2015 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001801c0470  0x000005b4  __TEXT,__text  func  _libxpc_initializer
0x00000001801c0a24  0x00000048  __TEXT,__text  func  _xpc_ktrace_pid0
0x00000001801c0a6c  0x0000000c  __TEXT,__text  func  _xpc_install_dispatch_hooks
0x00000001801c0a78  0x00000004  __TEXT,__text  func  xpc_get_class4NSXPC
0x00000001801c0a7c  0x0000007c  __TEXT,__text  func  xpc_array_create
0x00000001801c0af8  0x0000000c  __TEXT,__text  func  _xpc_base_create
0x00000001801c0b04  0x0000001c  __TEXT,__text  func  _xpc_mach_port_retain_send
0x00000001801c0b20  0x0000006c  __TEXT,__text  func  _xpc_create_bootstrap_pipe
0x00000001801c0b8c  0x00000010  __TEXT,__text  func  xpc_pipe_create_from_port
0x00000001801c0b9c  0x000000f0  __TEXT,__text  func  xpc_pipe_create
0x00000001801c0c8c  0x000000c0  __TEXT,__text  func  _xpc_collect_environment
0x00000001801c0d4c  0x0000007c  __TEXT,__text  func  xpc_dictionary_create
0x00000001801c0dc8  0x00000060  __TEXT,__text  func  xpc_dictionary_set_string
0x00000001801c0e28  0x00000054  __TEXT,__text  func  xpc_string_create
0x00000001801c0e7c  0x00000004  __TEXT,__text  func  _xpc_try_strdup
0x00000001801c0e80  0x00000008  __TEXT,__text  func  xpc_dictionary_set_value
0x00000001801c0e88  0x00000004  __TEXT,__text  func  xpc_get_type
0x00000001801c0e8c  0x0000029c  __TEXT,__text  func  _xpc_dictionary_insert
0x00000001801c1128  0x00000088  __TEXT,__text  func  _hash_bucket
0x00000001801c11b0  0x0000008c  __TEXT,__text  func  xpc_retain
0x00000001801c123c  0x000000dc  __TEXT,__text  func  xpc_release
0x00000001801c1318  0x00000044  __TEXT,__text  func  _xpc_has_prefix
0x00000001801c135c  0x000000fc  __TEXT,__text  func  _xpc_collect_images
0x00000001801c1458  0x00000044  __TEXT,__text  func  xpc_uint64_create
0x00000001801c149c  0x000002a4  __TEXT,__text  func  _xpc_dyld_image_callback
0x00000001801c1740  0x00000064  __TEXT,__text  func  _xpc_has_suffix
0x00000001801c17a4  0x0000007c  __TEXT,__text  func  _xpc_services_unavailable
0x00000001801c1820  0x00000064  __TEXT,__text  func  xpc_copy_entitlement_for_self
0x00000001801c1884  0x00000094  __TEXT,__text  func  _xpc_get_self_audit_token
0x00000001801c1918  0x00000070  __TEXT,__text  func  _fetch_self_token
0x00000001801c1988  0x00000068  __TEXT,__text  func  _xpc_copy_entitlements
0x00000001801c19f0  0x00000174  __TEXT,__text  func  _xpc_copy_entitlements_data
0x00000001801c1b64  0x0000005c  __TEXT,__text  func  _xpc_get_csops_blob
0x00000001801c1bc0  0x0000015c  __TEXT,__text  func  xpc_data_create
0x00000001801c1d1c  0x0000007c  __TEXT,__text  func  xpc_data_create_with_dispatch_data
0x00000001801c1d98  0x00000048  __TEXT,__text  func  xpc_data_get_bytes_ptr
0x00000001801c1de0  0x000000a4  __TEXT,__text  func  _xpc_data_map
0x00000001801c1e84  0x00000040  __TEXT,__text  func  xpc_data_get_length
0x00000001801c1ec4  0x0000000c  __TEXT,__text  func  xpc_create_from_plist
0x00000001801c1ed0  0x000008b4  __TEXT,__text  func  _xpc_plist_parse_xml
0x00000001801c2784  0x00000038  __TEXT,__text  sub  sub_1801c2784
0x00000001801c27bc  0x00000358  __TEXT,__text  func  _xpc_xml_lex
0x00000001801c2b14  0x000000b0  __TEXT,__text  func  _xpc_xml_lexer_read_tag
0x00000001801c2bc4  0x00000290  __TEXT,__text  func  _xpc_xml_lexer_process_tag
0x00000001801c2e54  0x00000070  __TEXT,__text  func  _xpc_xml_parser_push
0x00000001801c2ec4  0x0000005c  __TEXT,__text  func  _xpc_xml_parser_string_terminate
0x00000001801c2f20  0x00000040  __TEXT,__text  func  xpc_string_create_no_copy
0x00000001801c2f60  0x0000001c  __TEXT,__text  func  xpc_bool_create
0x00000001801c2f7c  0x000000e0  __TEXT,__text  func  _xpc_xml_parser_stack_finish_leaf
0x00000001801c305c  0x0000005c  __TEXT,__text  func  _xpc_xml_parser_pop
0x00000001801c30b8  0x00000054  __TEXT,__text  func  xpc_string_get_string_ptr
0x00000001801c310c  0x00000048  __TEXT,__text  objc  -[OS_xpc_object dealloc]  // -[OS_xpc_object ?]
0x00000001801c3154  0x0000012c  __TEXT,__text  func  _xpc_dispose
0x00000001801c3280  0x0000005c  __TEXT,__text  func  _xpc_string_dispose
0x00000001801c32dc  0x00000004  __TEXT,__text  func  _xpc_base_dispose
0x00000001801c32e0  0x00000020  __TEXT,__text  func  _xpc_memcmp
0x00000001801c3300  0x00000130  __TEXT,__text  func  xpc_array_append_value
0x00000001801c3430  0x00000068  __TEXT,__text  func  _xpc_array_insert
0x00000001801c3498  0x00000008  __TEXT,__text  func  _xpc_data_dispose
0x00000001801c34a0  0x0000007c  __TEXT,__text  func  xpc_dictionary_get_value
0x00000001801c351c  0x00000144  __TEXT,__text  func  _xpc_dictionary_look_up
0x00000001801c3660  0x000000ac  __TEXT,__text  func  _xpc_dictionary_look_up_table
0x00000001801c370c  0x00000110  __TEXT,__text  func  _xpc_dictionary_dispose
0x00000001801c381c  0x00000074  __TEXT,__text  func  _xpc_dictionary_node_free
0x00000001801c3890  0x0000005c  __TEXT,__text  func  _xpc_array_dispose
0x00000001801c38ec  0x00000074  __TEXT,__text  func  _xpc_uncork_domain
0x00000001801c3960  0x00000054  __TEXT,__text  func  xpc_bundle_create
0x00000001801c39b4  0x0000000c  __TEXT,__text  func  xpc_bundle_create_from_origin
0x00000001801c39c0  0x00000090  __TEXT,__text  func  _xpc_strdup
0x00000001801c3a50  0x000000f0  __TEXT,__text  func  xpc_bundle_get_property
0x00000001801c3b40  0x00000034  __TEXT,__text  sub  sub_1801c3b40
0x00000001801c3b74  0x00000064  __TEXT,__text  func  xpc_bundle_resolve
0x00000001801c3bd8  0x00000248  __TEXT,__text  func  ___xpc_bundle_resolve_block_invoke
0x00000001801c3e20  0x000000c0  __TEXT,__text  func  _xpc_realpath
0x00000001801c3ee0  0x00000290  __TEXT,__text  func  _xpc_bundle_resolve_root
0x00000001801c4170  0x000000b8  __TEXT,__text  func  _resolve_and_stat_path
0x00000001801c4228  0x000000c0  __TEXT,__text  func  _xpc_realpath_fd
0x00000001801c42e8  0x000000a8  __TEXT,__text  func  _xpc_asprintf
0x00000001801c4390  0x00000188  __TEXT,__text  func  _xpc_bundle_resolve_executable
0x00000001801c4518  0x0000006c  __TEXT,__text  func  xpc_dictionary_get_string
0x00000001801c4584  0x000001f4  __TEXT,__text  func  _xpc_dictionary_look_up_fast
0x00000001801c4778  0x000002a0  __TEXT,__text  func  _xpc_bundle_resolve_services
0x00000001801c4a18  0x00000068  __TEXT,__text  func  _xpc_bundle_resolve_resources
0x00000001801c4a80  0x0000009c  __TEXT,__text  func  _xpc_bundle_dispose
0x00000001801c4b1c  0x00000060  __TEXT,__text  func  xpc_dictionary_set_uint64
0x00000001801c4b7c  0x0000001c  __TEXT,__text  func  _xpc_domain_routine
0x00000001801c4b98  0x00000244  __TEXT,__text  func  _xpc_interface_routine
0x00000001801c4ddc  0x00000014  __TEXT,__text  func  xpc_pipe_routine_with_flags
0x00000001801c4df0  0x0000007c  __TEXT,__text  func  _xpc_pipe_check_in_once
0x00000001801c4e6c  0x00000014  __TEXT,__text  func  xpc_pipe_routine
0x00000001801c4e80  0x00000148  __TEXT,__text  func  _xpc_pipe_pack_message
0x00000001801c4fc8  0x00000010  __TEXT,__text  func  _xpc_serializer_create
0x00000001801c4fd8  0x0000007c  __TEXT,__text  func  _xpc_dictionary_extract_reply_port
0x00000001801c5054  0x0000044c  __TEXT,__text  func  _xpc_serializer_pack
0x00000001801c54a0  0x0000004c  __TEXT,__text  func  _xpc_ktrace_pid1
0x00000001801c54ec  0x00000164  __TEXT,__text  func  _xpc_serializer_apply
0x00000001801c5650  0x00000048  __TEXT,__text  func  xpc_dictionary_apply_f
0x00000001801c5698  0x0000011c  __TEXT,__text  func  _xpc_dictionary_apply_node_f
0x00000001801c57b4  0x00000068  __TEXT,__text  func  _xpc_dictionary_apply_f_apply
0x00000001801c581c  0x00000060  __TEXT,__text  func  _xpc_serializer_dictionary_apply
0x00000001801c587c  0x000000cc  __TEXT,__text  func  _xpc_mmap_anon
0x00000001801c5948  0x000000d4  __TEXT,__text  func  _xpc_dictionary_serialize
0x00000001801c5a1c  0x00000150  __TEXT,__text  func  _xpc_serializer_append
0x00000001801c5b6c  0x00000010  __TEXT,__text  func  _xpc_serializer_get_graph_length
0x00000001801c5b7c  0x0000019c  __TEXT,__text  func  _xpc_dictionary_serialize_apply
0x00000001801c5d18  0x00000068  __TEXT,__text  func  _xpc_uint64_serialize
0x00000001801c5d80  0x000000c4  __TEXT,__text  func  xpc_uint64_get_value
0x00000001801c5e44  0x0000007c  __TEXT,__text  func  _xpc_string_serialize
0x00000001801c5ec0  0x0000000c  __TEXT,__text  func  _xpc_serializer_get_graph_ptr
0x00000001801c5ecc  0x00000064  __TEXT,__text  func  _xpc_dictionary_extract_importance_voucher
0x00000001801c5f30  0x00000064  __TEXT,__text  func  _xpc_dictionary_get_transaction
0x00000001801c5f94  0x00000058  __TEXT,__text  func  _xpc_ktrace_pid2
0x00000001801c5fec  0x0000000c  __TEXT,__text  func  _xpc_serializer_get_mach_message_header
0x00000001801c5ff8  0x00000030  __TEXT,__text  func  _xpc_serializer_get_mach_message_length
0x00000001801c6028  0x00000050  __TEXT,__text  func  _xpc_serializer_reset_mach_message_header
0x00000001801c6078  0x00000060  __TEXT,__text  func  _xpc_serializer_clear_sent_descriptors
0x00000001801c60d8  0x000000b0  __TEXT,__text  func  _xpc_serializer_cleanup
0x00000001801c6188  0x0000008c  __TEXT,__text  func  _xpc_serializer_reap_combined_send_receive
0x00000001801c6214  0x00000070  __TEXT,__text  func  _xpc_serializer_destroy
0x00000001801c6284  0x00000070  __TEXT,__text  func  _xpc_serializer_dispose
0x00000001801c62f4  0x00000158  __TEXT,__text  func  xpc_receive_mach_msg
0x00000001801c644c  0x000000a0  __TEXT,__text  func  _xpc_mach_received_message_init
0x00000001801c64ec  0x00000018  __TEXT,__text  func  _xpc_mach_msg_get_audit_token
