//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/usr/lib/updaters/libSEUpdater.dylib
// arch:    arm64e
// uuid:    AA107A63-B7FD-3E12-B431-0684623DB239
// text:    0x00000002852f2000
// count:   2068 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002852f3180  0x000001a4  __TEXT,__text  func  SSEIsFeatureSupported
0x00000002852f3324  0x000000c4  __TEXT,__text  sub  sub_2852f3324
0x00000002852f33e8  0x00000100  __TEXT,__text  func  SSEGetVersion
0x00000002852f34e8  0x00000118  __TEXT,__text  func  getDeviceFeatures
0x00000002852f3600  0x00000320  __TEXT,__text  func  init
0x00000002852f3920  0x00000074  __TEXT,__text  func  logCmdCall
0x00000002852f3994  0x00000170  __TEXT,__text  func  getCertificatesFromBuffer
0x00000002852f3b04  0x000002a0  __TEXT,__text  func  SSEGetEntangledAuthorizationRandom
0x00000002852f3da4  0x00000238  __TEXT,__text  func  SSEGetAttV2AuthKey
0x00000002852f3fdc  0x0000027c  __TEXT,__text  func  SSESetSEPubKey
0x00000002852f4258  0x00000310  __TEXT,__text  func  SSEPerformAuthKeySharing
0x00000002852f4568  0x00000038  __TEXT,__text  objc  +[BAADelegateImpl isInternal]  // +[BAADelegateImpl  request]
0x00000002852f45a0  0x00000268  __TEXT,__text  objc  +[BAADelegateImpl generateSigKey:keyData:attestation:pubKey:]  // +[BAADelegateImpl ?]
0x00000002852f4808  0x00000334  __TEXT,__text  objc  +[BAADelegateImpl setSigKey:expirationDate:keyData:certificates:]  // +[BAADelegateImpl ?]
0x00000002852f4b3c  0x00000104  __TEXT,__text  objc  +[BAADelegateImpl getSigKeyExpDate:expirationDate:]  // +[BAADelegateImpl ?]
0x00000002852f4c40  0x00000168  __TEXT,__text  objc  +[BAADelegateImpl getSigKeyCertificates:certificates:]  // +[BAADelegateImpl ?]
0x00000002852f4da8  0x000000c4  __TEXT,__text  objc  +[BAADelegateImpl confirmSigKey:status:]  // +[BAADelegateImpl ]
0x00000002852f4e6c  0x0000014c  __TEXT,__text  objc  +[BAADelegateImpl getBlessedUser:keybagUUID:]  // +[BAADelegateImpl ?]
0x00000002852f4fb8  0x000001b8  __TEXT,__text  func  serviceNotificationHandler
0x00000002852f5170  0x000000e0  __TEXT,__text  func  __isRestoreMode_block_invoke
0x00000002852f5250  0x00000090  __TEXT,__text  func  __getMGAnswers_block_invoke
0x00000002852f52e0  0x00000024  __TEXT,__text  func  __serviceNotificationHandler_block_invoke
0x00000002852f5304  0x0000004c  __TEXT,__text  func  __serviceNotificationHandler_block_invoke_2
0x00000002852f5350  0x00000024  __TEXT,__text  func  __serviceNotificationHandler_block_invoke_3
0x00000002852f5374  0x000000ec  __TEXT,__text  func  logLine
0x00000002852f5460  0x000001ac  __TEXT,__text  func  logState
0x00000002852f560c  0x000000e4  __TEXT,__text  func  __baaInit_block_invoke
0x00000002852f56f0  0x00000214  __TEXT,__text  func  __isEntitledForBAA_block_invoke
0x00000002852f5904  0x00000044  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x00000002852f5948  0x0000004c  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x00000002852f5994  0x00000030  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x00000002852f59c4  0x00000020  __TEXT,__text  func  OUTLINED_FUNCTION_3
0x00000002852f59e4  0x00000020  __TEXT,__text  func  OUTLINED_FUNCTION_4
0x00000002852f5a04  0x0000001c  __TEXT,__text  func  OUTLINED_FUNCTION_5
0x00000002852f5a20  0x0000001c  __TEXT,__text  func  OUTLINED_FUNCTION_7
0x00000002852f5a3c  0x0000001c  __TEXT,__text  func  OUTLINED_FUNCTION_8
0x00000002852f5a58  0x00000038  __TEXT,__text  func  OUTLINED_FUNCTION_11
0x00000002852f5a90  0x00000018  __TEXT,__text  func  OUTLINED_FUNCTION_12
0x00000002852f5aa8  0x00000018  __TEXT,__text  func  OUTLINED_FUNCTION_15
0x00000002852f5ac0  0x00000030  __TEXT,__text  func  OUTLINED_FUNCTION_18
0x00000002852f5af0  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_21
0x00000002852f5b04  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_23
0x00000002852f5b18  0x0000002c  __TEXT,__text  func  OUTLINED_FUNCTION_24
0x00000002852f5b44  0x0000002c  __TEXT,__text  func  OUTLINED_FUNCTION_25
0x00000002852f5b70  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_27
0x00000002852f5b84  0x0000001c  __TEXT,__text  func  OUTLINED_FUNCTION_28
